Product ID,Product Name,Brand,Brand Type,Category,Size,Price,Cost,Profit Margin,Launch Date,Sales Channel,Country,City,Sales Volume,Revenue,Return Rate,Customer Reviews,Marketing Spend,Advertising Platform,Promotion Type,Promotion Start Date,Promotion End Date,Inventory Level,Order Fulfillment Time,Shipping Costs,CAC,CLTV,Seasonality Index,Trend Analysis,Customer Feedback,Marketing Strategy,,,,,,,,,,,,,,,,,,
1,Chanel No. 5,Chanel,Luxury,Floral,100ml,150,75,50,05-05-1921,Retail,France,Paris,2000,300000,1,4.9,20000,Social Media,Discount,01-06-2023,15-06-2023,100,2,8,15,350,Stable,Timeless classic!,Europe,Influencer collaborations,,,,,,,,,,,,,,,,,,
2,Black Opium,Yves Saint Laurent,Luxury,Oriental,90ml,130,65,50,01-09-2014,Online,France,Paris,1800,234000,2,4.8,15000,Google Ads,Gift with Purchase,10-07-2023,25-07-2023,200,3,10,20,320,Increasing,Seductive and bold!,Europe,Seasonal campaigns,,,,,,,,,,,,,,,,,,
3,Victoria's Secret Bombshell,Victoria's Secret,Mass Market,Fruity,100ml,80,40,50,01-01-2010,Retail,USA,New York,1500,120000,3,4.6,12000,Social Media,Discount,15-08-2023,30-08-2023,250,3,5,10,220,Stable,Fruity and floral!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
4,Flowerbomb,Viktor & Rolf,Luxury,Floral,100ml,120,60,50,01-09-2005,Retail,Netherlands,Amsterdam,1500,180000,3,4.7,12000,Social Media,Discount,20-05-2023,05-06-2023,250,4,7,15,280,Decreasing,Explosive floral bouquet!,Europe,High-end advertising,,,,,,,,,,,,,,,,,,
5,Aventus,Creed,Luxury,Woody,100ml,300,150,50,01-04-2010,Wholesale,UK,London,1200,360000,2,4.6,25000,Google Ads,Gift with Purchase,01-08-2023,15-08-2023,150,3,12,25,400,Stable,Rich and fruity!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
6,Love Spell,Victoria's Secret,Mass Market,Fruity,100ml,75,35,53,01-01-2000,Retail,USA,Los Angeles,1300,97500,2,4.7,13000,Social Media,Discount,01-09-2023,15-09-2023,250,2,6,10,240,Stable,Flirty and fun!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
7,La Vie Est Belle,Lancôme,Luxury,Floral,75ml,125,60,52,01-09-2012,Online,France,Paris,1600,200000,3,4.8,13000,Google Ads,Gift with Purchase,10-06-2023,25-06-2023,250,3,11,20,310,Stable,Joyful and vibrant!,Europe,Email marketing,,,,,,,,,,,,,,,,,,
8,Daisy,Marc Jacobs,Luxury,Floral,100ml,125,55,56,01-04-2007,Retail,USA,New York,1700,212500,1,4.5,12000,Social Media,Discount,01-09-2023,15-09-2023,250,3,10,15,260,Increasing,Playful and bright!,America,High-end advertising,,,,,,,,,,,,,,,,,,
9,Angel,Thierry Mugler,Luxury,Oriental,100ml,130,65,50,01-10-1992,Retail,France,Paris,1700,221000,2,4.7,15000,Google Ads,Gift with Purchase,10-08-2023,25-08-2023,300,3,10,20,290,Stable,Sweet and gourmand!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
10,Green Irish Tweed,Creed,Luxury,Woody,100ml,350,175,50,01-01-1985,Wholesale,UK,London,900,315000,1,4.8,25000,Google Ads,Gift with Purchase,01-06-2023,15-06-2023,100,3,12,25,400,Stable,Fresh and clean!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
11,Noir de Noir,Tom Ford,Luxury,Oriental,50ml,200,100,50,01-01-2007,Online,USA,New York,1000,200000,2,4.8,15000,Social Media,Discount,10-06-2023,25-06-2023,150,3,9,15,280,Stable,Dark and sensual!,America,High-end advertising,,,,,,,,,,,,,,,,,,
12,Coco Mademoiselle,Chanel,Luxury,Oriental,100ml,130,65,50,01-04-2001,Retail,France,Paris,1700,221000,2,4.7,15000,Social Media,Discount,01-08-2023,15-08-2023,300,2,10,15,290,Increasing,Elegant and modern!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
13,Miss Dior,Dior,Luxury,Floral,100ml,140,70,50,01-03-1947,Retail,France,Paris,1600,224000,3,4.9,15000,Google Ads,Gift with Purchase,01-09-2023,15-09-2023,250,3,11,20,310,Stable,Timeless classic!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
14,Light Blue,Dolce & Gabbana,Mass Market,Fruity,100ml,90,45,50,01-01-2001,Online,Italy,Milan,1600,144000,3,4.6,10000,Social Media,Discount,10-09-2023,25-09-2023,200,3,8,15,240,Stable,Fresh and airy!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
15,Poison,Dior,Luxury,Oriental,100ml,150,75,50,01-09-1985,Wholesale,France,Paris,1200,180000,2,4.5,15000,Google Ads,Gift with Purchase,01-08-2023,15-08-2023,100,3,10,20,280,Decreasing,Bold and mysterious!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
16,Eternity,Calvin Klein,Mass Market,Floral,100ml,60,30,50,01-04-1988,Retail,USA,New York,1400,84000,3,4.5,8000,Social Media,Discount,10-08-2023,25-08-2023,200,3,8,15,240,Stable,Classic and fresh!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
17,Red Door,Elizabeth Arden,Mass Market,Floral,100ml,50,25,50,01-01-1989,Retail,USA,New York,1000,50000,3,4.4,5000,Google Ads,Discount,01-06-2023,15-06-2023,150,3,7,12,200,Decreasing,Classic but dated!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
18,Eternity Aqua,Calvin Klein,Mass Market,Aquatic,100ml,70,35,50,01-04-2010,Retail,USA,New York,1100,77000,2,4.5,6000,Social Media,Discount,10-08-2023,25-08-2023,200,3,6,10,200,Stable,Fresh and aquatic!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
19,Burberry Brit,Burberry,Mass Market,Fruity,100ml,80,40,50,01-04-2003,Retail,UK,London,1200,96000,2,4.6,5000,Google Ads,Discount,01-06-2023,15-06-2023,200,3,8,15,240,Increasing,Classy and vibrant!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
20,Euphoria,Calvin Klein,Mass Market,Fruity,100ml,70,35,50,01-04-2005,Retail,USA,New York,1300,91000,3,4.6,5000,Social Media,Discount,01-09-2023,15-09-2023,200,3,7,10,220,Stable,Sweet and sexy!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
21,Pure Poison,Dior,Luxury,Floral,100ml,150,75,50,01-09-2004,Retail,France,Paris,1000,150000,2,4.6,15000,Google Ads,Gift with Purchase,05-08-2023,20-08-2023,200,3,9,20,280,Stable,Elegant and bold!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
22,Marc Jacobs Daisy Dream,Marc Jacobs,Luxury,Floral,100ml,110,55,50,01-01-2014,Online,USA,New York,1500,165000,1,4.7,12000,Social Media,Discount,10-09-2023,30-09-2023,200,4,10,15,250,Increasing,Light and airy!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
23,Angel Eau Sucrée,Thierry Mugler,Luxury,Oriental,100ml,130,65,50,01-01-2014,Retail,France,Paris,1200,156000,2,4.8,13000,Google Ads,Gift with Purchase,01-06-2023,15-06-2023,150,3,11,20,300,Stable,Sweet and playful!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
24,Byredo Gypsy Water,Byredo,Luxury,Woody,100ml,190,95,50,01-04-2008,Online,Sweden,Stockholm,1000,190000,1,4.6,15000,Social Media,Discount,05-09-2023,20-09-2023,100,3,8,15,280,Increasing,Earthy and refreshing!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
25,Azzaro Chrome,Azzaro,Mass Market,Fruity,100ml,80,40,50,01-05-2003,Retail,France,Paris,1300,104000,3,4.5,10000,Google Ads,Discount,15-08-2023,30-08-2023,300,2,7,12,220,Stable,Fresh and vibrant!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
26,Tom Ford Black Orchid,Tom Ford,Luxury,Oriental,100ml,120,60,50,01-09-2006,Online,USA,New York,1400,168000,2,4.7,15000,Google Ads,Gift with Purchase,10-09-2023,25-09-2023,200,3,9,20,270,Stable,Mysterious and dark!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
27,Gucci Bloom,Gucci,Luxury,Floral,100ml,140,70,50,01-02-2017,Retail,Italy,Florence,1000,140000,2,4.8,15000,Social Media,Discount,01-08-2023,15-08-2023,250,3,11,20,310,Increasing,Floral and fresh!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
28,Light Blue Sun,Dolce & Gabbana,Luxury,Fruity,100ml,100,50,50,01-01-2019,Retail,Italy,Milan,1200,120000,1,4.6,13000,Social Media,Discount,10-09-2023,30-09-2023,200,3,8,15,240,Stable,Bright and cheerful!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
29,Valentino Donna,Valentino,Luxury,Floral,100ml,120,60,50,01-09-2017,Online,Italy,Milan,1000,120000,2,4.7,15000,Google Ads,Gift with Purchase,01-08-2023,15-08-2023,200,3,10,20,250,Increasing,Elegant and chic!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
30,Versace Bright Crystal,Versace,Luxury,Floral,100ml,110,55,50,01-09-2006,Retail,Italy,Milan,1500,165000,2,4.6,15000,Google Ads,Discount,01-09-2023,15-09-2023,250,3,9,15,260,Increasing,Fresh and sparkling!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
31,Escada Marine Splash,Escada,Mass Market,Fruity,100ml,80,40,50,01-05-2012,Retail,Germany,Berlin,900,72000,3,4.4,8000,Social Media,Discount,15-09-2023,30-09-2023,300,2,6,10,210,Stable,Fresh and aquatic!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
32,Narciso Rodriguez For Her,Narciso Rodriguez,Luxury,Floral,100ml,115,57.5,50,01-10-2006,Online,USA,New York,1300,149500,1,4.7,15000,Google Ads,Gift with Purchase,20-08-2023,05-09-2023,150,3,8,15,260,Increasing,Elegant and sensual!,America,Luxury marketing,,,,,,,,,,,,,,,,,,
33,YSL Black Opium,Yves Saint Laurent,Luxury,Oriental,100ml,130,65,50,01-09-2014,Retail,France,Paris,1000,130000,2,4.6,12000,Google Ads,Discount,10-09-2023,25-09-2023,200,3,9,20,280,Increasing,Bold and addictive!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
34,Paco Rabanne 1 Million,Paco Rabanne,Luxury,Fruity,100ml,100,50,50,01-01-2008,Online,Spain,Madrid,1500,150000,2,4.7,15000,Social Media,Discount,01-08-2023,15-08-2023,200,3,10,15,290,Increasing,Energetic and vibrant!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
35,Viktor & Rolf Flowerbomb,Viktor & Rolf,Luxury,Floral,100ml,140,70,50,01-01-2005,Retail,Netherlands,Amsterdam,1200,168000,1,4.8,15000,Google Ads,Gift with Purchase,01-09-2023,15-09-2023,150,3,11,20,310,Stable,Rich and explosive!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
36,Maison Margiela Replica By the Fireplace,Maison Margiela,Luxury,Woody,100ml,130,65,50,01-01-2015,Online,France,Paris,900,117000,1,4.5,10000,Google Ads,Discount,20-08-2023,10-09-2023,100,3,7,15,270,Stable,Warm and comforting!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
37,Calvin Klein CK One,Calvin Klein,Mass Market,Citrus,100ml,85,42.5,50,01-01-1994,Retail,USA,New York,1500,127500,2,4.6,8000,Social Media,Discount,10-09-2023,30-09-2023,250,2,8,12,240,Stable,Fresh and unisex!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
38,DKNY Be Delicious,DKNY,Mass Market,Fruity,100ml,95,47.5,50,01-04-2004,Retail,USA,New York,1000,95000,1,4.4,9000,Social Media,Discount,15-08-2023,30-08-2023,300,2,6,10,220,Stable,Juicy and refreshing!,America,Collaborative marketing,,,,,,,,,,,,,,,,,,
39,Chloé Eau de Parfum,Chloé,Luxury,Floral,100ml,120,60,50,01-01-2008,Online,France,Paris,1300,156000,1,4.6,15000,Google Ads,Gift with Purchase,10-09-2023,25-09-2023,200,3,9,20,250,Increasing,Romantic and elegant!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
40,Dolce & Gabbana Light Blue,Dolce & Gabbana,Luxury,Fruity,100ml,110,55,50,01-01-2001,Retail,Italy,Milan,1200,132000,2,4.7,12000,Google Ads,Discount,05-09-2023,20-09-2023,150,3,8,15,260,Stable,Bright and summery!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
41,Tom Ford Black Orchid,Tom Ford,Luxury,Oriental,100ml,140,70,50,01-01-2006,Online,USA,New York,800,112000,1,4.8,12000,Google Ads,Gift with Purchase,10-09-2023,25-09-2023,100,2,8,15,300,Increasing,Bold and mysterious!,America,Luxury branding,,,,,,,,,,,,,,,,,,
42,Givenchy L'Interdit,Givenchy,Luxury,Floral,100ml,125,62.5,50,01-09-2018,Retail,France,Paris,900,112500,2,4.5,10000,Google Ads,Discount,15-08-2023,30-08-2023,200,3,9,20,270,Stable,Elegant and daring!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
43,Versace Bright Crystal,Versace,Luxury,Floral,100ml,110,55,50,01-01-2006,Online,Italy,Milan,1200,132000,1,4.6,11000,Google Ads,Gift with Purchase,05-09-2023,20-09-2023,150,2,10,15,250,Stable,Fresh and bright!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
44,Marc Jacobs Daisy,Marc Jacobs,Luxury,Floral,100ml,100,50,50,01-01-2007,Retail,USA,New York,1500,150000,1,4.7,15000,Social Media,Discount,20-08-2023,05-09-2023,200,3,11,20,280,Increasing,Light and playful!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
45,Chloe Nomade,Chloé,Luxury,Floral,100ml,125,62.5,50,01-01-2018,Online,France,Paris,1000,125000,2,4.6,10000,Google Ads,Gift with Purchase,01-09-2023,15-09-2023,150,3,9,20,240,Increasing,Adventurous and free!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
46,Hermès Terre d'Hermès,Hermès,Luxury,Woody,100ml,135,67.5,50,01-01-2006,Retail,France,Paris,800,108000,1,4.5,9000,Google Ads,Discount,15-08-2023,30-08-2023,200,3,8,15,260,Stable,Earthy and grounding!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
47,Aerin Beauty Rose de Grasse,Aerin,Luxury,Floral,100ml,150,75,50,01-01-2015,Online,USA,New York,700,105000,1,4.6,12000,Google Ads,Gift with Purchase,10-09-2023,25-09-2023,100,3,9,15,230,Increasing,Fresh and romantic!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
48,Giorgio Armani Acqua di Gio,Giorgio Armani,Luxury,Aquatic,100ml,120,60,50,01-01-1996,Retail,Italy,Milan,1500,180000,2,4.7,15000,Google Ads,Discount,05-09-2023,20-09-2023,200,3,10,20,290,Stable,Fresh and invigorating!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
49,Burberry Her,Burberry,Luxury,Fruity,100ml,130,65,50,01-01-2018,Online,UK,London,900,117000,1,4.5,8000,Social Media,Gift with Purchase,10-09-2023,25-09-2023,150,2,8,15,270,Increasing,Modern and chic!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
50,Creed Aventus,Creed,Luxury,Woody,100ml,300,150,50,01-01-2010,Retail,France,Paris,600,180000,1,4.9,20000,Google Ads,Discount,01-09-2023,15-09-2023,100,2,7,15,320,Increasing,Bold and powerful!,Europe,Luxury branding,,,,,,,,,,,,,,,,,,
51,YSL Black Opium,Yves Saint Laurent,Luxury,Oriental,90ml,150,75,50,01-01-2014,Online,France,Paris,1000,150000,1,4.7,15000,Social Media,Gift with Purchase,05-09-2023,20-09-2023,200,3,10,20,310,Increasing,Intense and addictive!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
52,Dolce & Gabbana Light Blue,Dolce & Gabbana,Luxury,Fruity,100ml,110,55,50,01-01-2001,Retail,Italy,Milan,1200,132000,1,4.6,9000,Google Ads,Discount,15-08-2023,30-08-2023,150,2,9,15,250,Stable,Fresh and cheerful!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
53,Marc Jacobs Decadence,Marc Jacobs,Luxury,Woody,100ml,130,65,50,01-01-2015,Online,USA,New York,800,104000,1,4.4,8000,Social Media,Gift with Purchase,10-09-2023,25-09-2023,100,2,8,15,230,Increasing,Opulent and sophisticated!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
54,Chloe Atelier des Fleurs,Chloé,Luxury,Floral,100ml,150,75,50,01-01-2018,Retail,France,Paris,600,90000,2,4.6,12000,Google Ads,Discount,20-08-2023,05-09-2023,150,3,9,20,240,Increasing,Elegant and floral!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
55,Narciso Rodriguez For Her,Narciso Rodriguez,Luxury,Floral,100ml,130,65,50,01-01-2006,Online,USA,New York,700,91000,1,4.5,10000,Google Ads,Gift with Purchase,01-09-2023,15-09-2023,100,2,8,15,270,Increasing,Sensual and warm!,America,Seasonal promotions,,,,,,,,,,,,,,,,,,
56,Jean Paul Gaultier Classique,Jean Paul Gaultier,Luxury,Oriental,100ml,100,50,50,01-01-1993,Retail,France,Paris,900,90000,1,4.4,7000,Google Ads,Discount,15-08-2023,30-08-2023,150,2,7,15,250,Stable,Classic and iconic!,Europe,High-impact advertising,,,,,,,,,,,,,,,,,,
57,Burberry Brit Rhythm,Burberry,Luxury,Woody,100ml,120,60,50,01-01-2014,Online,UK,London,800,96000,1,4.6,8000,Social Media,Gift with Purchase,10-09-2023,25-09-2023,200,3,9,20,260,Increasing,Energetic and vibrant!,Europe,Collaborative marketing,,,,,,,,,,,,,,,,,,
58,Calvin Klein Euphoria,Calvin Klein,Luxury,Fruity,100ml,115,57.5,50,01-01-2005,Retail,USA,New York,1200,138000,1,4.6,9000,Google Ads,Discount,15-08-2023,30-08-2023,200,3,10,20,290,Stable,Exotic and alluring!,America,High-impact advertising,,,,,,,,,,,,,,,,,,
59,Viktor & Rolf Flowerbomb,Viktor & Rolf,Luxury,Floral,100ml,190,95,50,01-01-2005,Online,Netherlands,Amsterdam,700,133000,1,4.8,12000,Social Media,Gift with Purchase,05-09-2023,20-09-2023,150,2,9,15,300,Increasing,Opulent and explosive!,Europe,Seasonal promotions,,,,,,,,,,,,,,,,,,
60,Prada Candy,Prada,Luxury,Oriental,100ml,130,65,50,01-01-2011,Retail,Italy,Milan,600,78000,2,4.4,7000,Google Ads,Discount,20-08-2023,05-09-2023,100,2,8,15,230,Increasing,Sweet and seductive!,Europe,Luxury marketing,,,,,,,,,,,,,,,,,,
